Blog	golden	songwriter	service	singer	saying	nature	dave	shadow	crowd	bottom	following	seriously	internet	west	ascii	dirty	november	followed	huge	scott	research	singles	chorus	land	resources	process	books	length	festival	false	tonight	tape	web	places	problem	worth	era	production	l	electronic	musical	peel	turns	guy	ended	non	tomorrow	vocals	america	gonna	using	learned	tracks	inspired	hansi	pictures	wave	michael	ryan	camera	meet	links	including	university	tunes	widow	http	library	likely	met	amazing	personal	seven	deal	somehow	father	round	okay	box	bob	visit	fuck	interesting	lunch	performance	london	label	august	tour	among	images	zero	needs	acts	chart	century	epic	entire	access	hair	excellent	drummer	saturday	final	despite	however	news	conference	parker	level	figure	jazz	featuring	career	friday	store	electric	wrote	solo	questions	nick	include	g	local	opening	joy	job	april	perhaps	difficult	theatre	episode	copy	theme	score	possible	team	current	date	data	definitions	twin	industry	act	image	original	cast	pick	science	sense	information	imagine	w	relationship	session	sex	community	funny	recent	link	code	results	led	lee	doubt	clearly	edition	co	ca	cd	moments	near	dr	kept	minor	december	indeed	hall	ep	size	mostly	husband	classic	media	recorded	food	neil	bass	genre	liked	seeing	himself	download	click	attack	ben	anyway	written	sonic	type	acoustic	points	www	shit	digital	pink	guys	vinyl	language	question	reading	margin	totally	bowie	audience	broken	drums	field	students	starting	titled	search	none	folk	luke	throughout	create	understand	bill	excited	per	forward	giving	pagination	lp	latest	buy	studio	mr	several	greatest	bands	christmas	nd	particular	sing	weird	ok	taylor	included	added	recently	pt	due	fucking	issues	fine	sort	studios	van	table	guitarist	itself	example	series	previous	support	awesome	truly	recordings	bright	october	johnny	available	church	straight	format	continue	spring	themselves	uk	magic	system	means	site	ghost	interview	created	loved	photo	welcome	certainly	text	presented	usually	january	happen	british	national	rules	los	history	issue	wonderful	september	jeff	within	win	completely	based	underground	records	stories	whose	features	modern	mine	seem	dog	coast	human	character	johnson	latin	mso	broadcast	shot	nearly	similar	either	general	film	important	public	compilation	members	para	park	recording	fans	simple	simply	f	matt	apparently	mid	mix	add	although	limited	tom	snow	chris	approach	games	trust	plus	gig	focus	happened	releases	released	unfortunately	ideas	college	key	alt	thursday	knows	v	parts	expect	remix	material	july	piano	wall	mike	present	smith	whether	brought	hop	beauty	debut	boston	release	result	asked	player	tune	films	punk	san	note	pages	artist	mean	certain	smile	via	soundtrack	england	blues	vocal	river	tools	pieces	produced	lucky	etc	monday	indie	eventually	guitars	james	title	area	building	heaven	amount	tried	beyond	event	albums	whatever	facebook	plays	singing	becomes	ride	control	mentioned	quality	playlist	exactly	orphan	computer	began	twitter	artists	presents	lights	answer	content	definitely	lyrics	bar	super	jones	thank	main	voices	wonder	normal	parent	share	mountain	built	particularly	yesterday	google	body	collection	dad	mention	south	bear	calling	lake	alive	noise	j	changed	changes	metal	players	cambria	longer	tstyle	brother	quick	sessions	stream	birthday	season	review	cities	earlier	font	aren	hip	various	became	women	tag	york	view	closer	lead
MarkEOrtega's Journalism Portfolio	0	4	3	10	3	0	1	3	37	0	7	1	0	9	0	1	15	1	1	5	1	0	0	1	0	1	1	13	51	0	0	0	0	0	0	12	0	0	2	2	4	0	6	1	2	1	0	4	1	0	0	0	2	0	0	0	0	1	3	0	3	0	3	1	4	0	0	0	1	4	0	1	0	1	4	2	0	0	0	3	0	0	3	0	28	6	2	3	16	3	0	2	0	28	0	0	5	4	1	1	2	5	32	6	6	1	1	0	0	2	0	0	7	2	18	0	0	1	8	1	1	0	0	0	6	0	2	3	4	2	52	0	1	0	0	0	11	0	10	0	0	0	2	3	1	2	0	1	0	3	1	0	1	0	0	0	0	0	0	1	0	1	3	1	2	1	0	4	0	2	3	4	0	1	1	5	0	1	7	0	1	0	1	9	1	2	0	1	2	0	7	3	0	149	0	13	0	0	3	3	2	4	0	2	0	1	1	0	0	3	1	0	0	1	0	0	4	2	0	1	6	2	1	3	0	6	0	0	12	0	2	0	3	0	0	6	0	10	0	0	5	14	0	0	0	4	1	0	0	5	5	5	0	6	0	1	0	1	2	2	0	3	3	0	4	14	11	10	3	0	7	7	0	1	1	2	1	3	0	4	10	1	0	1	1	0	24	1	0	0	1	2	0	0	3	4	1	7	0	0	27	0	0	1	3	1	1	1	3	7	0	6	0	1	2	0	0	0	2	10	0	1	1	0	0	0	0	7	0	1	4	3	2	0	1	2	0	6	0	11	0	2	3	9	0	4	1	4	0	1	6	0	1	0	3	0	2	10	7	2	1	13	0	1	3	1	11	20	0	3	0	3	0	6	1	1	0	2	0	4	3	5	10	1	30	0	9	1	1	2	2	2	5	9	1	0	2	0	0	0	3	0	1	0	2	1	0	0	1	1	0	9	14	1	2	0	0	3	1	0	5	3	1	3	4	2	0	3	1	0	3	1	0	0	2	2	0	2	8	3	6	0	3	1	1	5	1	6	1	3	1	19	0	6	1	0	3	0	2	3	3	0	0	0	0	0	5	0	1	2	0	2	1	1	0	0	4	0	1	0	2	1	0	0	0	1	1	0	9	0	0	10	0	1	2	0	3	0	0	3
the fast break of champions	6	2	0	11	6	1	6	1	4	2	7	2	8	2	0	3	1	1	11	0	2	0	1	2	0	3	5	1	3	0	2	5	1	0	4	5	2	0	1	5	15	0	3	52	2	2	1	16	2	67	10	0	3	0	0	2	1	8	0	0	2	0	3	0	1	0	0	1	0	2	14	4	4	1	9	3	0	11	4	6	0	51	2	2	1	7	0	0	4	7	2	0	7	1	0	6	2	12	0	7	3	8	0	1	3	6	3	0	1	3	3	4	0	3	9	1	4	6	11	0	32	1	4	0	4	3	7	2	2	0	0	1	3	4	1	7	1	1	2	0	1	5	0	8	6	16	0	14	3	10	3	5	0	3	0	32	0	38	3	2	0	0	0	4	2	1	0	0	0	12	3	3	2	6	0	2	13	3	4	2	5	1	0	1	5	2	1	19	3	9	1	10	2	0	1	3	49	7	1	8	0	0	0	38	0	14	42	1	1	2	4	0	7	7	9	6	7	0	0	2	0	0	6	0	3	3	2	1	2	0	0	1	2	0	0	3	7	3	8	4	2	31	2	3	12	1	25	21	0	1	3	5	1	5	51	0	21	18	0	3	2	2	11	5	2	1	1	7	1	1	6	2	3	2	1	10	1	1	0	4	0	4	1	12	0	4	8	3	15	0	0	5	0	0	8	1	6	2	0	2	0	7	0	3	2	7	0	0	2	2	5	1	3	0	1	0	4	7	4	0	5	0	0	0	0	0	6	5	2	24	7	21	1	4	4	4	0	6	3	12	15	12	3	0	13	1	0	3	12	0	36	1	3	2	0	4	4	6	1	12	0	6	3	2	1	0	0	1	13	0	4	7	4	1	1	8	4	19	3	3	0	2	3	9	1	0	0	2	3	3	7	4	4	0	10	0	6	51	3	4	0	13	6	12	0	0	0	4	1	2	3	5	1	13	3	1	10	2	1	10	3	14	8	0	21	6	1	4	11	4	1	1	8	1	2	18	0	3	0	0	4	0	1	4	0	5	37	3	2	2	14	0	9	6	3	0	4	2	3	3	5	0	2	4	0	17	3	0	1	1	3	8	1	7	1	1	1	0	3	0	2	3	1	0	3	0	6	1	4	0	2	4	5	4	6	0	2	0	4	6
FOLK IS NOT HAPPY	4	3	0	2	0	4	3	0	0	0	5	0	0	2	0	0	0	0	0	3	0	0	0	5	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	0	0	8	1	0	0	0	2	6	0	0	0	1	2	0	0	0	0	0	0	0	8	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	3	0	1	0	0	0	2	1	0	0	0	0	0	1	1	4	1	0	0	1	1	1	0	0	0	0	4	0	4	0	6	0	0	0	1	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	3	0	1	1	1	0	0	2	0	0	0	1	0	1	0	0	2	0	1	3	1	0	0	0	0	0	0	0	0	1	0	2	1	4	1	0	10	0	0	1	0	0	0	0	0	0	1	3	0	8	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	9	1	0	0	0	3	0	28	0	3	0	1	2	0	0	0	1	0	2	0	0	3	0	0	0	1	0	1	2	0	1	0	0	0	2	0	0	0	0	1	0	1	1	1	0	4	3	5	1	2	0	0	1	1	0	0	1	0	0	0	0	1	0	0	3	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	3	3	1	2	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	2	0	1	1	0	0	1	0	0	4	1	1	1	1	0	0	1	2	1	4	0	1	0	1	0	0	0	0	0	2	1	1	6	0	1	0	0	2	0	0	0	0	0	0	0	1	5	0	3	2	0	0	0	0	4	2	0	2	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	2	2	2	5	0	1	1	0	0	0	0	0	2	2	4	2	0	0	0	1	2	0	4	1	0	0	17	1	0	0	0	0	0	0	0	0	4	0	1	2	2	1	0	1	5	1	0	4	0	0	0	1	0	1	0	2	3	2	0	0	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0
Green Eggs and Ham Mondays 8-10am	21	0	10	0	1	1	3	10	1	3	0	0	1	9	2	2	4	0	0	0	2	0	0	28	0	1	1	0	1	6	4	0	1	4	0	0	0	0	6	2	2	0	0	1	0	0	5	0	0	6	0	2	1	0	2	2	4	2	4	1	3	1	0	0	2	1	0	6	0	1	1	0	3	0	0	0	8	4	1	4	0	3	0	1	0	1	0	3	5	3	0	1	0	1	0	0	0	0	0	1	0	0	2	14	0	0	4	0	0	2	1	1	0	0	0	1	10	0	1	0	7	0	1	73	1	5	4	16	0	0	1	1	5	3	0	0	4	0	1	0	1	1	0	0	0	4	2	2	4	0	2	0	8	0	0	0	9	0	0	0	0	0	0	7	0	0	3	5	1	1	0	5	1	0	3	3	0	4	0	3	0	0	0	0	0	0	5	0	1	0	0	0	0	0	8	5	0	0	1	0	1	0	0	0	0	11	0	0	8	0	0	2	0	0	0	30	0	4	0	1	0	0	2	3	9	1	0	0	0	0	0	0	1	1	0	0	1	4	2	0	1	0	0	4	1	10	1	2	1	0	0	0	11	1	0	0	4	0	0	14	3	0	0	0	0	1	6	0	1	0	3	8	1	0	2	3	0	2	6	0	0	12	0	0	1	23	0	0	0	0	3	0	0	0	0	1	1	1	5	0	0	1	0	4	3	0	2	1	0	0	4	0	0	0	1	12	0	0	3	8	2	0	0	2	14	3	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	8	0	0	2	0	0	3	5	8	0	0	1	1	1	0	1	0	0	0	0	1	0	2	1	1	6	0	0	0	32	0	12	3	2	1	1	13	0	0	6	1	0	0	0	0	1	0	3	0	3	2	0	1	3	2	1	2	0	2	0	9	0	6	0	2	0	7	2	14	2	1	1	1	1	0	1	3	0	0	0	2	0	1	1	0	0	0	5	4	1	0	74	0	1	0	0	0	0	0	8	1	1	0	0	0	3	1	11	1	6	0	3	1	3	9	0	0	2	0	3	1	2	2	1	8	1	30	9	0	2	0	1	5	0	3	0	2	4	0	0	1	9	5	2	11	0	6	0	2	2	0	6	0	1	0	0	1
Salem Blog	0	0	0	0	2	1	0	0	0	0	2	0	6	1	0	0	1	2	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	2	0	1	0	2	0	2	0	2	0	0	6	2	1	0	1	1	0	0	1	2	1	1	2	0	0	10	0	1	1	1	3	0	2	1	1	0	0	0	2	0	9	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	2	1	0	1	0	0	3	3	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	3	0	0	0	2	1	0	0	0	0	2	0	0	0	0	2	0	0	1	1	1	2	0	0	4	1	0	2	5	2	0	0	0	0	0	1	0	0	1	0	1	0	3	0	1	0	0	2	0	3	0	0	0	1	0	1	2	4	0	0	0	0	1	3	0	0	1	0	0	0	0	2	0	0	7	1	0	0	2	0	0	0	1	0	0	2	0	3	0	0	1	2	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	12	0	1	0	5	2	0	0	1	0	0	1	9	0	2	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	2	1	0	1	3	1	0	0	3	0	3	0	0	1	0	0	2	1	0	0	1	0	0	2	0	0	0	3	0	0	2	0	0	1	0	0	2	0	1	0	0	9	0	0	0	0	0	1	0	0	0	0	6	4	2	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	7	0	0	1	0	0	0	1	4	0	0	0	2	0	2	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	2	0	2	1	0	0	0	0	1	0	0	0	0	1	3	2	0	0	0	1	0	1	0	3	2	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	2	0	0	0	2	0	0	1	0	2	0	1	1	0	1	0	1	0	3	2	2	0	0	1	0	1	0	0	2	0	2	0	0	0	1	6	0	1	1	0	2	0	1	4	4	0	2	0	0	0
Riley Haas' blog	7	6	2	2	10	11	18	1	0	6	8	19	6	6	0	4	1	4	13	0	3	2	1	1	0	0	6	4	3	0	1	0	0	3	36	24	53	18	5	0	4	0	7	29	2	9	0	7	0	0	3	3	25	7	0	1	9	14	2	1	1	0	9	7	0	0	0	1	24	1	8	6	10	12	16	10	28	18	10	0	0	3	54	0	14	8	5	0	1	23	1	6	2	2	1	19	1	11	1	1	19	0	0	29	51	34	8	1	1	8	4	31	4	90	0	0	2	12	34	2	1	13	107	1	29	1	14	2	67	9	1	2	0	2	15	8	144	10	10	1	0	0	0	6	1	39	7	31	6	31	1	16	2	3	0	2	1	9	2	0	0	3	37	3	12	21	2	3	1	2	14	13	0	2	5	2	11	20	2	3	21	2	34	10	20	1	3	5	25	8	12	14	0	2	4	1	32	32	0	13	5	81	0	11	2	0	17	0	1	25	4	0	14	1	2	1	6	3	0	2	0	1	4	17	2	6	7	23	2	3	140	29	1	0	0	4	6	27	2	0	35	37	1	51	11	1	9	0	0	7	4	4	1	5	4	7	20	37	1	2	0	5	18	19	22	3	1	9	9	3	0	3	0	8	1	10	2	10	2	10	0	2	5	22	2	0	6	16	4	0	0	43	0	1	18	6	11	7	1	8	3	72	6	4	1	2	10	45	19	12	0	10	7	5	15	13	2	13	0	0	5	26	10	0	0	0	11	23	6	22	6	182	30	5	9	2	0	1	13	15	6	2	2	4	52	7	2	4	1	4	1	0	5	11	192	4	15	0	6	13	2	14	22	11	5	2	2	0	14	2	21	8	3	12	5	27	1	13	12	8	36	4	16	1	5	3	12	5	5	163	6	29	26	6	15	2	6	30	5	0	2	3	1	25	5	0	0	9	3	4	5	0	5	9	0	13	13	1	2	3	3	9	13	2	27	21	0	13	5	4	0	2	1	17	0	20	0	1	5	1	4	1	0	8	4	11	33	1	5	10	1	7	1	4	3	0	1	0	2	18	1	1	3	23	0	4	4	3	0	1	6	3	5	22	10	28	99	0	17	0	1	8	13	0	0	120	12	0	27	0	12	16	11	10	5	0	9	8	5	18
MAGGOT CAVIAR	2	2	2	13	0	5	1	0	9	2	29	1	5	1	0	2	7	9	0	1	2	39	0	9	0	4	2	11	8	0	0	22	1	1	2	1	17	5	3	1	10	313	3	3	5	8	4	15	2	5	3	0	63	4	0	0	5	5	2	0	3	2	26	4	3	0	0	3	6	2	4	1	20	3	3	10	1	0	26	3	3	1	6	5	12	26	49	8	19	7	3	1	2	2	3	21	0	2	2	5	18	8	11	25	18	12	7	1	0	2	1	4	10	20	1	3	4	5	12	0	5	6	3	10	5	3	3	11	16	2	1	0	12	7	3	2	0	10	19	0	0	0	8	8	0	46	2	0	1	3	11	3	6	0	258	1	0	0	14	4	1	5	1	0	12	1	20	5	2	53	0	0	2	1	5	11	4	6	54	1	4	2	12	1	107	1	2	24	4	1	1	3	8	1	2	1	3	6	8	5	9	0	0	1	6	7	0	36	5	2	6	0	0	0	29	6	13	1	2	3	6	0	7	5	0	1	3	0	9	1	0	9	5	0	17	10	9	23	25	41	5	23	14	29	5	4	4	2	1	25	6	15	2	13	0	1	5	3	14	1	1	6	5	0	13	13	8	0	5	26	0	15	2	35	1	1	15	11	8	6	34	7	0	1	9	1	7	5	1	7	2	4	1	8	6	10	0	6	9	0	0	3	4	2	9	0	6	1	5	7	8	26	2	11	7	1	3	10	6	2	3	1	5	0	0	39	1	3	4	11	1	2	0	11	23	16	0	3	53	25	1	5	0	0	5	20	6	3	17	21	8	1	2	4	1	2	16	27	1	2	21	88	0	1	3	2	1	1	1	0	6	4	3	21	10	0	1	0	11	9	4	4	4	0	76	0	72	0	1	14	4	1	15	0	5	1	3	5	1	3	11	2	5	11	9	1	1	6	5	4	5	3	19	15	3	2	7	2	0	6	0	2	8	1	41	5	18	1	2	0	8	1	1	25	1	7	0	2	7	0	14	0	0	0	0	1	6	10	6	1	0	5	0	2	1	1	2	0	3	3	4	4	1	6	2	2	3	1	6	0	1	3	0	2	1	2	6	0	1	0	1	6	140	3	9	1	0	0	12	0	2	8	6	16	4	1	3	0	5	14
turnitup!	2	2	3	7	0	0	3	4	2	12	0	0	1	5	18	1	1	2	1	5	0	12	1	0	0	0	0	0	0	37	0	0	1	2	1	5	15	1	1	7	30	0	5	10	0	1	1	5	0	5	1	0	15	2	18	0	7	9	4	2	4	0	3	0	6	10	4	1	3	0	0	2	1	2	4	1	1	2	1	9	2	1	1	0	3	0	2	3	1	0	0	1	2	2	0	2	1	0	0	0	0	1	0	0	2	0	1	0	3	0	4	9	0	4	0	0	2	1	1	1	4	0	0	0	2	3	1	0	3	0	0	1	3	27	0	2	1	1	0	0	9	0	0	2	0	11	4	4	0	5	0	2	0	2	0	1	0	3	4	2	0	0	1	2	1	5	0	0	0	5	2	1	0	0	31	1	1	3	2	28	1	1	19	0	3	2	7	4	6	0	1	3	1	1	3	6	2	4	2	0	0	1	1	2	2	2	6	0	1	3	0	18	1	1	0	3	1	1	0	2	3	0	1	7	0	0	1	3	5	0	0	2	1	9	1	6	1	0	3	2	2	2	4	0	1	4	3	3	2	0	0	2	54	1	0	0	7	3	0	3	18	1	0	2	3	0	0	0	2	4	1	1	3	3	4	11	0	0	2	3	3	2	0	1	0	2	0	0	4	0	1	1	0	0	2	3	0	7	3	2	8	1	0	3	6	1	0	2	2	1	4	1	0	6	1	6	0	2	2	1	1	2	8	18	135	2	0	6	0	1	0	4	3	1	1	0	18	1	11	0	3	2	2	4	0	3	1	1	0	0	2	1	2	1	2	0	1	1	1	1	1	10	0	1	2	2	15	1	2	0	2	0	4	0	0	2	1	3	1	6	0	3	10	6	6	0	13	0	0	0	10	0	3	2	8	1	4	2	4	3	1	4	0	8	6	2	0	0	4	2	0	0	5	0	9	8	7	0	1	3	0	1	1	0	16	3	0	3	4	0	4	0	0	1	3	2	9	0	1	0	3	1	3	3	0	0	8	3	2	3	3	2	4	5	9	10	4	1	1	0	1	1	2	2	5	1	3	2	0	1	0	4	3	1	0	0	0	18	1	18	2	3	1	1	0	3	0	1	4	72	1	11	2	1	3	0	3	0	1	1
The Moon Topples	1	0	2	0	0	0	0	1	0	3	1	0	8	0	0	0	5	0	1	0	1	0	0	1	0	2	3	0	1	0	0	1	0	1	4	0	1	1	0	0	0	1	3	1	0	1	3	0	2	2	0	2	0	0	0	5	0	1	0	2	3	7	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	1	0	0	2	1	1	0	0	1	1	5	0	5	4	0	4	0	0	0	0	1	1	1	0	0	4	2	0	1	3	0	0	0	1	0	0	1	4	2	0	4	0	4	0	3	0	3	3	1	1	1	3	1	0	0	0	1	0	3	3	7	1	0	0	1	0	1	3	1	1	2	0	3	0	2	0	0	0	0	0	1	5	5	1	3	1	0	5	0	0	0	0	0	3	5	0	2	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	2	1	0	5	0	0	0	5	0	3	0	0	0	0	0	1	1	0	1	3	7	0	1	0	0	0	0	0	0	1	0	3	0	1	0	2	0	0	0	0	0	3	0	0	0	3	0	0	4	6	0	0	1	0	2	1	5	2	0	0	0	5	0	3	0	1	5	16	0	0	0	0	0	0	1	7	0	0	1	0	0	4	1	0	0	1	0	2	2	0	0	0	0	1	12	0	3	1	0	4	0	2	0	0	1	1	1	0	0	0	0	0	0	1	7	0	3	0	1	2	0	1	2	0	0	0	3	7	1	0	1	3	0	0	0	0	2	4	1	3	1	2	2	2	0	1	0	3	0	0	1	1	0	0	3	0	0	2	4	0	0	2	0	0	0	0	5	0	2	2	0	3	1	0	2	0	0	3	0	0	0	4	0	0	3	0	0	0	0	0	2	1	0	2	0	0	0	2	6	1	2	1	0	1	2	1	0	5	2	0	2	0	3	0	1	3	0	1	0	0	0	17	1	2	0	0	0	3	8	0	0	0	0	7	1	2	3	1	0	0	0	1	5	0	0	1	0	3	5	1	0	0	0	1	0	0	0	2	1	0	1	1	0	2	8	0	2	0	0	0	5	2	1	4	0	4	1	0	3	2	1	1	0	0	1	0	2	0	7	0	0	2	0	1	3	4	3	0	1	0	1	1	2	1	0	3	0	0	1	0
A Wife's Tale	2	0	4	2	19	6	2	2	4	1	4	35	7	1	0	2	2	3	4	1	1	0	0	1	1	3	15	4	2	3	14	1	0	10	5	19	0	0	4	0	0	0	11	13	9	8	43	0	2	21	4	37	1	2	0	29	2	0	23	10	14	1	7	6	0	2	2	0	4	18	32	8	2	26	4	40	14	28	6	1	22	0	13	19	0	20	0	7	2	3	2	176	14	1	1	0	46	26	2	11	6	0	17	3	2	126	21	1	0	8	2	1	1	7	16	6	2	2	0	13	0	5	0	6	2	22	33	2	22	9	0	2	2	0	5	9	6	5	17	1	0	0	0	2	5	2	1	5	0	11	6	36	0	20	0	1	1	13	7	2	0	4	7	1	5	0	1	2	6	1	24	4	2	11	3	3	9	1	0	3	16	108	1	3	0	31	0	0	1	4	13	16	0	3	0	3	87	7	0	7	0	4	2	0	1	4	22	1	3	8	35	0	7	0	0	15	0	4	0	15	0	1	10	0	0	2	0	15	4	28	18	26	18	0	0	1	14	0	19	18	5	0	15	2	8	0	27	3	0	1	4	14	5	19	0	11	24	8	0	0	4	0	4	13	6	3	16	76	31	0	4	4	1	3	25	7	1	10	0	5	0	3	7	45	0	1	11	4	35	41	6	13	0	0	6	5	26	8	1	0	0	8	3	51	4	1	3	2	31	1	2	0	8	1	1	1	17	9	66	3	11	4	1	0	0	0	9	11	4	9	5	0	24	3	0	8	0	6	2	1	8	6	5	3	29	1	3	12	2	6	0	1	1	0	3	20	1	1	4	22	0	1	16	2	32	2	1	3	18	3	9	8	0	3	9	1	0	0	4	0	2	8	3	3	1	0	0	1	21	0	1	0	2	0	5	0	4	81	7	15	2	0	2	2	2	6	2	6	1	16	19	14	0	11	0	6	1	10	2	5	14	10	10	2	0	39	14	4	0	6	7	10	5	2	0	12	0	7	13	0	0	0	0	12	2	18	1	2	30	0	18	3	0	10	14	3	25	3	1	7	58	0	35	0	7	18	14	4	11	8	10	0	1	23	8	1	1	0	10	0	26	5	0	0	20	1	2	0	8	0	14	4	10	7	15	0	8	5	16	5
INDIEohren.!	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Encore	3	38	1	27	4	17	4	23	39	1	13	5	2	3	0	3	2	11	31	11	0	16	59	0	1	11	5	1	28	0	23	3	0	1	0	17	10	20	4	20	22	2	4	10	6	3	9	49	19	6	2	3	61	32	0	4	13	10	37	0	5	0	4	5	13	0	7	1	13	5	8	19	5	7	10	5	7	1	6	4	1	1	9	0	41	11	10	0	44	0	0	0	6	32	3	13	4	11	1	4	15	13	8	22	10	31	23	1	0	8	1	3	3	14	16	0	16	6	33	5	2	4	19	66	41	14	4	6	37	16	0	0	2	1	0	9	19	4	32	0	0	0	15	28	2	12	4	2	2	12	5	14	1	2	3	3	2	1	11	1	0	7	14	0	21	24	1	2	0	0	7	15	2	6	0	4	42	22	139	1	9	0	18	6	23	0	3	36	14	0	2	18	4	4	5	7	4	11	23	3	59	1	3	3	1	3	7	4	0	13	3	0	9	18	29	16	10	1	0	12	7	8	8	15	0	38	9	7	7	3	0	8	6	0	0	37	5	15	2	4	9	114	10	1	8	20	4	3	148	6	2	13	0	7	3	4	16	16	2	5	1	19	11	8	10	17	25	25	26	8	11	4	3	5	0	17	1	21	2	27	27	1	5	10	5	20	5	8	4	3	10	28	0	0	6	6	1	7	2	3	2	17	0	14	1	7	32	2	13	11	21	29	4	1	1	36	1	26	2	21	4	4	102	0	0	2	2	6	8	6	9	2	14	5	2	5	0	5	20	161	10	33	1	2	0	11	12	15	7	0	1	9	12	12	0	4	2	52	10	2	14	36	4	5	2	8	33	5	5	0	5	18	2	16	1	25	5	8	8	8	18	7	17	15	137	1	85	3	6	2	20	1	48	1	6	1	37	14	13	4	9	14	5	4	35	7	0	6	6	4	11	1	88	8	27	5	16	0	19	4	7	1	12	9	8	6	27	3	14	2	0	26	1	28	1	7	0	1	15	26	17	3	2	7	8	7	35	35	2	0	7	3	6	14	0	0	3	2	11	20	4	2	1	7	4	2	6	0	5	0	12	25	4	1	5	5	0	0	10	0	3	12	3	3	1	0	75	2	15	0	3	15	7	7	4	3	9	4	20	28
